## z_spec  log(M*/Msun)  M*_err_up  M*_err_low  12+log(O/H)  O/H_err_up  O/H_err_low
8.160   8.49          0.24       0.32         7.65         0.09        0.09
8.150   7.52          0.33       0.35         7.72          -           -
9.510   7.74          0.23       0.29         7.48         0.09        0.09
8.498   8.00          0.36       0.51         6.99         0.11        0.11
7.665   8.22          0.20       0.18         8.24         0.07        0.07
7.663   8.40          0.15       0.24         7.73         0.12        0.12
7.212   9.31          0.41       0.47         7.36         0.41        0.23
7.152   9.90          0.25       0.33         7.94         0.21        0.22
8.312   9.96          0.28       0.23         8.03         0.21        0.40
8.382   10.03         0.40       0.38         7.44         0.24        0.26
9.110   9.31          0.19       0.14         7.95         0.21        0.21
