ID,M_star,M_200c,R_200c,sSFR_100,M_Gas_Halo,M_HI+He_Disk,M_Gas_CGM,M_Cool_CGM,M_Warm_CGM,M_Z_CGM,rho_CGM,T_CGM
r468-1,9.09,10.85,87.04,-9.54,9.67,8.86,9.45,9.27,8.93,7.39,-3.86,4.41
r568-1,9.06,10.82,84.93,-9.46,9.7,9.26,9.22,8.69,9.04,6.91,-4.07,4.69
rogue-1,8.99,10.92,87.59,-9.78,9.55,8.64,9.39,8.95,9.15,7.15,-3.96,4.69
r442-1,8.95,10.89,90.11,-9.42,9.86,9.35,9.48,9.0,9.27,7.0,-3.83,4.7
r502-1,8.93,10.87,88.74,-9.28,9.77,9.08,9.5,9.19,9.18,7.2,-3.87,4.58
r492-1,8.85,10.87,88.74,-9.33,9.86,9.47,9.4,8.91,9.2,6.87,-3.99,4.74
r515-1,8.82,10.9,90.73,-9.38,9.94,9.56,9.48,9.02,9.26,6.92,-3.82,4.69
r556-1,8.81,10.74,80.12,-9.52,9.52,8.92,9.19,8.89,8.86,6.99,-4.14,4.56
r555-1,8.72,10.75,81.02,-9.49,9.57,8.91,9.26,8.92,8.97,6.91,-3.99,4.57
r544-1,8.68,10.82,85.32,-9.24,9.72,9.29,9.3,8.57,9.19,6.59,-4.19,4.8
r489-1,8.68,10.83,85.76,-9.18,9.81,9.29,9.47,8.94,9.29,6.74,-3.92,4.72
storm-1,8.67,10.88,85.04,-9.31,9.82,9.38,9.44,8.92,9.26,6.7,-3.84,4.75
r656-1,8.54,10.69,76.86,-9.6,9.45,8.95,9.08,8.47,8.93,6.6,-4.24,4.72
r613-1,8.52,10.76,81.25,-9.53,9.62,9.14,9.28,8.71,9.12,6.62,-4.15,4.73
r597-1,8.52,10.73,79.67,-9.64,9.51,9.03,9.14,8.5,9.0,6.57,-4.25,4.76
r523-1,8.51,10.78,82.34,-9.59,9.59,9.06,9.26,8.53,9.14,6.53,-4.2,4.82
r642-1,8.47,10.7,77.69,-9.56,9.66,9.2,9.26,8.75,9.06,6.62,-4.08,4.7
r569-1,8.46,10.72,78.99,-9.6,9.63,9.14,9.26,8.7,9.09,6.6,-4.06,4.73
r918-1,8.45,10.76,81.14,-9.8,9.74,9.02,9.53,9.28,9.14,6.78,-3.57,4.49
r634-1,8.43,10.69,77.26,-9.56,9.61,9.11,9.23,8.69,9.06,6.54,-4.04,4.69
r618-1,8.42,10.7,77.44,-9.56,9.44,8.67,9.22,8.79,8.99,6.69,-4.12,4.64
r571-1,8.42,10.78,82.79,-9.75,9.67,9.26,9.14,8.19,9.06,6.22,-4.28,4.83
r614-1,8.41,10.71,78.46,-9.68,9.56,9.11,9.1,8.48,8.95,6.46,-4.19,4.73
r563-1,8.39,10.7,77.72,-9.43,9.53,8.8,9.3,8.84,9.09,6.68,-4.04,4.66
r886-1,8.37,10.63,73.71,-9.39,9.49,8.91,9.18,8.69,8.99,6.52,-4.08,4.64
r552-1,8.36,10.7,77.64,-9.55,9.59,9.11,9.24,8.72,9.05,6.55,-4.09,4.69
elektra-1,8.17,10.62,69.59,-9.69,9.35,8.65,9.11,8.34,9.02,6.11,-4.21,4.78
r718-1,8.02,10.59,71.27,-10.01,9.31,8.68,8.93,8.24,8.81,5.98,-4.32,4.7
storm-2,7.98,10.55,65.73,-9.88,9.55,8.73,9.38,9.19,8.93,6.25,-3.59,4.43
r761-1,7.91,10.56,69.84,-9.57,9.48,9.04,9.02,8.48,8.85,5.85,-4.16,4.67
r916-1,7.85,10.43,63.29,-9.63,9.02,8.3,8.78,8.13,8.65,6.04,-4.4,4.68
r552-2,7.84,10.49,65.9,-10.1,8.94,8.32,8.62,7.46,8.58,5.77,-4.67,4.77
rogue-3,7.84,10.33,55.55,-9.79,9.21,8.7,8.74,8.45,8.43,5.68,-3.83,4.49
r852-1,7.83,10.5,66.59,-9.77,9.03,8.1,8.88,8.06,8.79,5.92,-4.43,4.74
r753-1,7.81,10.46,64.5,-10.13,8.91,8.26,8.62,7.56,8.57,5.76,-4.65,4.73
r850-1,7.78,10.46,64.41,-9.7,8.99,8.03,8.83,8.18,8.7,5.97,-4.39,4.68
r977-1,7.73,10.41,62.17,-10.19,9.0,8.47,8.58,7.73,8.5,5.49,-4.65,4.69
rogue-8,7.71,10.12,47.22,-10.12,8.67,7.93,8.37,7.8,8.23,5.47,-4.41,4.67
elektra-2,7.64,10.46,61.62,-9.33,9.24,8.34,9.07,8.59,8.88,5.69,-3.89,4.59
r753-2,7.64,10.31,57.4,-9.68,8.97,8.26,8.72,8.44,8.38,5.92,-4.35,4.54
r918-2,7.61,10.44,63.52,-9.97,9.22,8.6,8.81,7.99,8.73,5.52,-4.35,4.66
elektra-4,7.56,10.28,53.66,-10.35,8.51,7.41,8.38,7.4,8.33,5.32,-4.64,4.71
storm-4,7.56,10.23,51.38,-10.22,8.72,7.95,8.42,7.43,8.37,5.36,-4.57,4.77
r1023-2,7.52,10.17,51.82,-10.35,8.43,7.61,8.19,8.03,7.66,5.66,-4.67,4.47
cptmarvel-1,7.51,10.19,50.04,-10.04,8.54,7.75,8.34,7.5,8.27,5.24,-4.64,4.63
storm-3,7.37,10.39,58.1,-9.54,9.25,8.6,8.97,8.41,8.83,5.31,-4.08,4.63
rogue-7,7.37,10.17,49.16,-10.15,8.67,7.84,8.44,7.83,8.31,5.33,-4.4,4.63
elektra-5,7.37,10.19,49.84,-9.66,8.84,7.96,8.67,8.0,8.57,5.38,-4.24,4.61
r977-2,7.36,10.25,55.17,-9.89,8.71,7.85,8.52,8.14,8.26,5.6,-4.43,4.56
rogue-10,7.14,10.05,44.96,-10.35,8.2,7.19,8.04,6.77,8.01,4.68,-4.77,4.97
r544-2,7.07,10.11,49.37,-9.88,8.57,7.73,8.38,7.91,8.19,5.29,-4.58,4.56
storm-8,7.02,9.9,40.04,-10.3,8.21,7.09,8.09,7.81,7.77,5.04,-4.54,4.5
storm-7,6.99,9.9,40.15,-10.59,8.14,6.99,8.04,7.24,7.96,4.73,-4.7,4.59
cptmarvel-2,6.95,9.99,43.04,-9.77,8.79,8.14,8.38,8.02,8.12,4.85,-4.17,4.47
rogue-12,6.92,9.88,39.45,-10.23,8.05,7.38,7.73,6.9,7.65,4.61,-4.88,4.84
storm-5,6.9,9.98,42.67,-10.17,8.33,7.2,8.19,7.6,8.06,4.93,-4.59,4.57
cptmarvel-5,6.86,9.88,39.26,-10.26,8.08,7.2,7.86,7.58,7.52,4.66,-4.78,4.51
cptmarvel-6,6.84,9.82,37.59,-10.39,8.13,6.99,7.97,7.75,7.57,4.79,-4.61,4.48
cptmarvel-3,6.71,9.94,41.33,-9.61,8.61,7.84,8.27,7.88,8.04,4.74,-4.38,4.52
rogue-11,6.67,9.91,40.27,-9.83,8.44,7.69,8.16,7.43,8.06,4.57,-4.56,4.58
r761-4,6.55,9.71,36.31,-10.09,8.09,7.43,7.71,7.69,6.15,4.74,-4.69,4.27
storm-6,6.52,9.93,40.82,-9.24,8.45,7.4,8.3,7.86,8.1,4.83,-4.37,4.52
r571-2,6.38,9.84,40.18,-9.79,8.12,7.11,7.98,7.92,7.06,4.86,-4.71,4.42
r556-3,6.3,9.7,36.0,-9.72,8.39,7.81,8.0,7.94,7.15,4.55,-4.48,4.4
