# mhalo_obs[Msun]   sigma_raw  sigma_fit  alphaE/alphaM  vir_temp[K]  cgm_temp[K]
1.000000000e+09 3.122888480e-02 1.598427514e-02 1.000000000e+02 3.333564871e+04 1.936206064e+06
1.000000000e+09 3.016088815e-02 1.817547510e-02 3.593813664e+01 3.333564871e+04 1.936206064e+06
1.000000000e+09 2.692745326e-02 1.530557570e-02 1.291549665e+01 3.333564864e+04 2.724222503e+06
1.000000000e+09 2.151736599e-02 3.361761796e-03 4.641588834e+00 3.333564864e+04 2.724222503e+06
1.000000000e+09 1.736195893e-02 3.741091126e-03 1.668100537e+00 3.333564829e+04 8.863298101e+05
1.000000000e+09 1.821119010e-02 6.403328159e-03 5.994842503e-01 3.333564829e+04 8.863298101e+05
1.000000000e+09 2.067963496e-02 6.566164971e-03 2.154434690e-01 3.333564803e+04 3.052297870e+05
1.000000000e+09 2.718524883e-02 7.964278283e-03 7.742636827e-02 3.333564803e+04 3.052297870e+05
1.000000000e+09 4.286399774e-02 8.500240171e-03 2.782559402e-02 3.333564795e+04 2.230240821e+05
1.000000000e+09 nan nan 1.000000000e-02 3.333564795e+04 2.230240821e+05
2.154434690e+09 2.730289348e-02 1.677987562e-02 1.000000000e+02 3.333564804e+04 8.844615755e+04
2.154434690e+09 2.556808844e-02 1.618058627e-02 3.593813664e+01 3.333564804e+04 8.844615755e+04
2.154434690e+09 2.351644018e-02 1.455533158e-02 1.291549665e+01 3.333564805e+04 3.654506577e+04
2.154434690e+09 2.003790035e-02 7.162921442e-03 4.641588834e+00 3.333564805e+04 3.654506577e+04
2.154434690e+09 1.595176954e-02 4.086353164e-03 1.668100537e+00 3.333564801e+04 1.730282169e+04
2.154434690e+09 1.734867084e-02 5.862548338e-03 5.994842503e-01 3.333564801e+04 1.730282169e+04
2.154434690e+09 1.786082162e-02 6.230188657e-03 2.154434690e-01 3.333564806e+04 1.046103403e+04
2.154434690e+09 2.097867572e-02 6.391283224e-03 7.742636827e-02 3.333564806e+04 1.046103403e+04
2.154434690e+09 2.879937592e-02 7.318632710e-03 2.782559402e-02 3.333564808e+04 8.118653469e+03
2.154434690e+09 nan nan 1.000000000e-02 3.333564808e+04 8.118653469e+03
4.641588834e+09 2.253567955e-02 1.117334371e-02 1.000000000e+02 5.667854990e+04 5.648550531e+05
4.641588834e+09 2.185068507e-02 1.376679792e-02 3.593813664e+01 5.667854990e+04 5.648550531e+05
4.641588834e+09 2.165616037e-02 1.394875010e-02 1.291549665e+01 5.667854893e+04 8.937152232e+05
4.641588834e+09 1.928476694e-02 5.092937854e-03 4.641588834e+00 5.667854893e+04 8.937152232e+05
4.641588834e+09 1.690633402e-02 1.878694036e-03 1.668100537e+00 5.667854926e+04 2.931547095e+05
4.641588834e+09 1.678321030e-02 5.605413084e-03 5.994842503e-01 5.667854926e+04 2.931547095e+05
4.641588834e+09 1.658953298e-02 6.070040140e-03 2.154434690e-01 5.667854794e+04 5.283676403e+05
4.641588834e+09 1.758043830e-02 6.197865822e-03 7.742636827e-02 5.667854794e+04 5.283676403e+05
4.641588834e+09 2.128613233e-02 6.342384147e-03 2.782559402e-02 5.667854784e+04 3.205463290e+05
4.641588834e+09 3.137221836e-02 6.509625146e-03 1.000000000e-02 5.667854784e+04 3.205463290e+05
1.000000000e+10 2.183651333e-02 1.073289006e-02 1.000000000e+02 5.667854782e+04 1.312614327e+05
1.000000000e+10 2.194059236e-02 1.346938619e-02 3.593813664e+01 5.667854782e+04 1.312614327e+05
1.000000000e+10 2.124812632e-02 1.222887084e-02 1.291549665e+01 5.667854782e+04 5.579198651e+04
1.000000000e+10 1.971767486e-02 6.235706663e-03 4.641588834e+00 5.667854782e+04 5.579198651e+04
1.000000000e+10 1.670265209e-02 3.505381999e-03 1.668100537e+00 5.667854771e+04 2.765665153e+04
1.000000000e+10 1.675311643e-02 5.678583428e-03 5.994842503e-01 5.667854771e+04 2.765665153e+04
